Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,30.170000,33.889999,27.540001,32.369999,32.369999,7595000
2007-02-01,32.529999,52.700001,31.139999,47.750000,47.750000,21926900
2007-03-01,46.150002,59.880001,42.599998,52.009998,52.009998,35374100
2007-04-01,52.099998,65.599998,52.080002,59.990002,59.990002,30722200
2007-05-01,58.990002,72.480003,54.200001,68.040001,68.040001,52934900
2007-06-01,68.550003,91.099998,67.220001,89.290001,89.290001,40049300
2007-07-01,89.349998,123.209999,88.599998,112.570000,112.570000,59251900
2007-08-01,102.870003,112.800003,74.769997,103.739998,103.739998,68413200
2007-09-01,103.500000,121.489998,93.690002,117.739998,117.739998,53128000
2007-10-01,120.000000,159.779999,119.910004,158.809998,158.809998,65411400
2007-11-01,157.289993,252.389999,141.490005,237.149994,237.149994,109669100
2007-12-01,237.889999,283.000000,211.000000,267.140015,267.140015,81447300
2008-01-01,269.459991,272.790009,143.309998,181.770004,181.770004,145592100
2008-02-01,182.300003,236.570007,157.660004,205.149994,205.149994,132229100
2008-03-01,204.500000,237.350006,176.009995,231.139999,231.139999,95433600
2008-04-01,237.320007,308.239990,232.199997,291.989990,291.989990,113818200
2008-05-01,285.000000,317.000000,251.809998,267.540009,267.540009,90136600
2008-06-01,259.869995,292.880005,233.970001,272.820007,272.820007,78784300
2008-07-01,265.899994,301.299988,234.000000,285.029999,285.029999,60758200
2008-08-01,286.640015,290.399994,243.029999,276.649994,276.649994,43482800
2008-09-01,270.399994,271.480011,175.479996,188.910004,188.910004,68274900
2008-10-01,198.000000,202.929993,95.320000,143.699997,143.699997,121171100
2008-11-01,146.839996,179.600006,85.279999,124.839996,124.839996,112919300
2008-12-01,118.720001,149.000000,109.750000,137.960007,137.960007,91730200
2009-01-01,137.000000,165.199997,128.889999,142.800003,142.800003,80358900
2009-02-01,140.229996,154.919998,101.099998,105.739998,105.739998,85786700
2009-03-01,103.529999,158.490005,100.900002,132.699997,132.699997,101544100
2009-04-01,130.000000,190.630005,129.880005,187.289993,187.289993,70816100
2009-05-01,187.919998,207.509995,176.259995,190.289993,190.289993,69841100
2009-06-01,194.479996,196.250000,155.729996,162.199997,162.199997,69452700
2009-07-01,163.820007,176.050003,139.899994,154.389999,154.389999,80538500
2009-08-01,156.250000,158.500000,118.849998,121.580002,121.580002,75569300
2009-09-01,121.150002,163.320007,112.089996,152.860001,152.860001,74435800
2009-10-01,147.600006,162.199997,121.320000,121.930000,121.930000,89708400
2009-11-01,121.239998,127.989998,115.089996,119.110001,119.110001,46920300
2009-12-01,121.089996,142.660004,119.110001,135.399994,135.399994,50034700
2010-01-01,136.000000,142.460007,109.769997,113.300003,113.300003,57238900
2010-02-01,114.889999,127.000000,98.709999,105.750000,105.750000,58287900
2010-03-01,107.589996,123.400002,104.360001,122.650002,122.650002,47160500
2010-04-01,122.330002,152.529999,118.879997,143.979996,143.979996,47180000
2010-05-01,145.750000,148.110001,103.699997,112.360001,112.360001,54793700
2010-06-01,112.220001,126.489998,100.190002,113.830002,113.830002,50654800
2010-07-01,113.610001,140.000000,112.059998,125.449997,125.449997,39912400
2010-08-01,126.339996,132.000000,121.720001,127.849998,127.849998,26952900
2010-09-01,129.300003,151.389999,127.709999,147.350006,147.350006,29118700
2010-10-01,148.960007,153.300003,136.199997,137.679993,137.679993,38537500
2010-11-01,137.839996,142.419998,120.900002,122.849998,122.849998,44339400
2010-12-01,124.989998,140.729996,124.559998,130.139999,130.139999,29625100
2011-01-01,131.850006,158.710007,130.240005,154.580002,154.580002,31614000
2011-02-01,155.899994,175.449997,146.789993,147.389999,147.389999,36134500
2011-03-01,148.300003,161.009995,137.100006,160.839996,160.839996,44598400
2011-04-01,163.000000,163.000000,132.169998,139.570007,139.570007,33306700
2011-05-01,140.839996,140.869995,114.400002,124.250000,124.250000,44185500
2011-06-01,125.830002,142.220001,111.400002,132.270004,132.270004,39912100
2011-07-01,130.660004,134.210007,115.620003,118.230003,118.230003,23793400
2011-08-01,121.349998,123.860001,87.290001,99.980003,99.980003,51323800
2011-09-01,99.500000,99.500000,61.549999,63.209999,63.209999,67697500
2011-10-01,61.830002,67.720001,42.500000,49.770000,49.770000,115942500
2011-11-01,47.500000,52.700001,40.049999,47.860001,47.860001,66853600
2011-12-01,47.630001,51.889999,29.870001,33.759998,33.759998,99366800
2012-01-01,35.000000,47.099998,33.500000,42.279999,42.279999,89373600
2012-02-01,43.490002,50.200001,31.860001,32.299999,32.299999,110332700
2012-03-01,32.459999,32.549999,24.500000,25.049999,25.049999,136783300
2012-04-01,25.139999,25.160000,17.809999,18.400000,18.400000,145729000
2012-05-01,19.170000,19.480000,12.190000,12.560000,12.560000,133657300
2012-06-01,12.130000,16.420000,11.430000,15.060000,15.060000,157435400
2012-07-01,15.190000,16.190001,13.810000,15.540000,15.540000,69338800
2012-08-01,15.600000,26.309999,14.590000,19.990000,19.990000,219640300
2012-09-01,19.799999,24.930000,18.299999,22.150000,22.150000,153937900
2012-10-01,22.430000,25.940001,19.680000,24.299999,24.299999,115687500
2012-11-01,24.500000,27.750000,22.200001,26.990000,26.990000,94949700
2012-12-01,27.230000,33.380001,26.920000,30.860001,30.860001,90973700
2013-01-01,32.020000,35.599998,27.670000,28.180000,28.180000,80737400
2013-02-01,28.410000,36.980000,25.500000,25.840000,25.840000,132689900
2013-03-01,25.480000,29.709999,24.459999,26.959999,26.959999,91384300
2013-04-01,27.270000,47.459999,25.660000,46.560001,46.560001,199864900
2013-05-01,46.700001,59.000000,42.610001,54.389999,54.389999,166858000
2013-06-01,54.240002,56.700001,40.459999,44.810001,44.810001,153512700
2013-07-01,45.380001,51.599998,44.169998,49.220001,49.220001,94275700
2013-08-01,49.639999,49.900002,36.599998,36.720001,36.720001,103041600
2013-09-01,37.150002,41.919998,35.590000,40.209999,40.209999,73094400
2013-10-01,40.310001,56.250000,40.000000,50.310001,50.310001,141424400
2013-11-01,55.639999,65.989998,54.770000,59.820000,59.820000,117602300
2013-12-01,59.770000,61.849998,53.070000,54.639999,54.639999,67799700
2014-01-01,54.279999,58.299999,47.750000,50.580002,50.580002,88341300
2014-02-01,50.410000,58.849998,47.040001,57.070000,57.070000,89680600
2014-03-01,55.709999,74.839996,52.419998,69.790001,69.790001,139517400
2014-04-01,70.040001,74.180000,63.310001,67.489998,67.489998,82968200
2014-05-01,66.959999,70.000000,57.799999,61.779999,61.779999,63850100
2014-06-01,62.290001,72.680000,61.119999,71.059998,71.059998,66401000
2014-07-01,71.519997,71.800003,60.750000,63.110001,63.110001,50951900
2014-08-01,62.490002,71.750000,60.150002,69.680000,69.680000,52394500
2014-09-01,69.709999,73.779999,64.930000,65.809998,65.809998,37839000
2014-10-01,65.820000,65.870003,50.130001,58.900002,58.900002,62668600
2014-11-01,58.779999,59.779999,45.939999,48.799999,48.799999,57852500
2014-12-01,48.290001,48.779999,40.540001,44.599998,44.599998,50714400
2015-01-01,44.720001,45.340000,39.180000,42.320000,42.320000,46972800
2015-02-01,42.680000,60.209999,42.590000,59.750000,59.750000,100778700
2015-03-01,59.410000,63.099998,58.610001,59.790001,59.790001,50132000
2015-04-01,59.840000,65.500000,59.009998,59.669998,59.669998,34395100
2015-05-01,57.500000,59.970001,49.700001,49.709999,49.709999,41420500
2015-06-01,49.759998,53.669998,46.840000,46.980000,46.980000,48638400
2015-07-01,47.320000,47.750000,41.560001,44.299999,44.299999,44352500
2015-08-01,44.700001,53.630001,40.250000,47.840000,47.840000,60215900
2015-09-01,46.930000,50.459999,40.509998,42.750000,42.750000,35740000
2015-10-01,42.560001,58.430000,41.900002,57.070000,57.070000,40055400
2015-11-01,56.650002,59.849998,52.160000,56.509998,56.509998,35463000
2015-12-01,56.599998,67.800003,52.509998,65.989998,65.989998,61801400
2016-01-01,64.709999,72.120003,57.200001,68.660004,68.660004,52622400
2016-02-01,68.099998,73.709999,58.080002,71.870003,71.870003,54956500
2016-03-01,71.360001,74.290001,66.580002,68.470001,68.470001,37692800
2016-04-01,67.879997,69.010002,55.189999,55.840000,55.840000,49353200
2016-05-01,56.259998,56.320000,46.669998,49.650002,49.650002,43970700
2016-06-01,49.779999,51.299999,43.700001,48.480000,48.480000,36547100
2016-07-01,48.389999,49.250000,44.060001,46.680000,46.680000,47039500
2016-08-01,46.910000,49.500000,36.750000,37.820000,37.820000,98283600
2016-09-01,37.820000,40.330002,33.740002,39.490002,39.490002,67558400
2016-10-01,39.650002,42.900002,37.230000,40.490002,40.490002,48973600
2016-11-01,40.570000,41.250000,28.600000,30.320000,30.320000,112372800
2016-12-01,30.469999,35.520000,29.650000,32.090000,32.090000,50208600
2017-01-01,32.610001,36.410000,30.340000,31.190001,31.190001,37656300
2017-02-01,31.400000,38.500000,30.799999,36.189999,36.189999,62061900
2017-03-01,36.540001,36.880001,27.080000,27.100000,27.100000,81855200
2017-04-01,27.170000,30.500000,25.559999,29.549999,29.549999,65761400
2017-05-01,29.990000,39.919998,29.230000,38.509998,38.509998,93961000
2017-06-01,38.610001,41.169998,35.330002,39.880001,39.880001,50985800
2017-07-01,39.919998,49.750000,38.360001,49.310001,49.310001,54727800
2017-08-01,49.849998,50.209999,45.759998,46.959999,46.959999,35458000
2017-09-01,47.009998,53.000000,45.259998,45.880001,45.880001,53647200
2017-10-01,46.299999,61.470001,45.270000,54.820000,54.820000,60060100
2017-11-01,55.360001,63.099998,54.709999,62.099998,62.099998,40971900
